generation,alive,pairs,births,deaths_env,avg_energy,food_left,oxygen_left,shared_pool_capacity_kb,shared_pool_used_kb
0,24,12,0,0,50.0,100,100,32,0
1,36,12,12,0,50.324,0,100,32,2
2,54,18,18,0,49.312,0,100,32,6
3,81,27,27,0,48.221,0,100,32,11
4,84,28,27,0,48.025,0,100,32,17
5,100,32,35,7,47.642,0,100,32,25
6,100,28,42,30,47.882,0,100,32,31
7,100,27,44,36,48.148,0,100,32,31
8,100,27,45,42,48.14,0,100,32,31
9,100,28,43,40,48.087,0,100,32,31
10,100,28,42,36,48.091,0,100,32,31
11,100,28,43,38,48.064,0,100,32,31
12,100,28,43,39,48.021,0,100,32,31
13,100,29,40,35,47.931,0,100,32,31
14,100,28,43,37,48.057,0,100,32,31
15,100,28,43,37,48.141,0,100,32,31
16,100,28,42,36,48.049,0,100,32,31
17,100,28,43,39,48.06,0,100,32,31
18,100,28,44,40,48.107,0,100,32,31
19,100,27,45,41,48.192,0,100,32,31
20,100,27,44,39,48.126,0,100,32,31
21,100,29,41,37,48.131,0,100,32,31
22,100,28,44,39,47.997,0,100,32,31
23,100,28,43,37,48.078,0,100,32,31
24,100,27,44,39,48.034,0,100,32,31
25,100,28,42,39,47.902,0,100,32,31
26,100,28,43,36,47.934,0,100,32,31
27,100,28,44,40,48.042,0,100,32,31
28,100,27,45,42,48.037,0,100,32,31
29,100,26,46,42,48.172,0,100,32,31
30,100,27,44,41,48.078,0,100,32,31
31,100,27,45,40,48.253,0,100,32,31
32,100,27,45,43,48.139,0,100,32,31
33,100,29,41,37,48.061,0,100,32,31
34,100,29,42,37,48.048,0,100,32,31
35,100,29,41,35,47.897,0,100,32,31
36,100,29,41,32,47.953,0,100,32,31
37,100,29,42,37,48.075,0,100,32,31
38,100,29,42,37,47.998,0,100,32,31
39,100,28,44,41,48.04,0,100,32,31
40,100,28,44,37,48.062,0,100,32,31
41,100,28,44,40,48.065,0,100,32,31
42,100,29,41,34,47.925,0,100,32,31
43,100,28,43,37,47.893,0,100,32,31
44,100,28,43,39,47.83,0,100,32,31
45,100,28,42,34,47.828,0,100,32,31
46,100,27,44,41,47.841,0,100,32,31
47,100,28,43,43,47.845,0,100,32,31
48,100,27,45,38,47.932,0,100,32,31
49,100,27,45,44,48.139,0,100,32,31
50,100,27,45,42,48.08,0,100,32,31
51,100,27,44,39,47.979,0,100,32,31
52,100,27,44,41,48.032,0,100,32,31
53,100,27,44,40,48.108,0,100,32,31
54,100,29,40,37,47.97,0,100,32,31
55,100,29,40,34,47.989,0,100,32,31
56,100,29,40,31,48.067,0,100,32,31
57,100,30,39,33,47.935,0,100,32,31
58,100,30,40,33,47.833,0,100,32,31
59,100,29,41,35,47.79,0,100,32,31
60,100,28,42,40,47.913,0,100,32,31
0,24,12,0,0,50.0,100,100,32,0
1,36,12,12,0,50.324,0,100,32,2
2,54,18,18,0,49.312,0,100,32,6
3,81,27,27,0,48.221,0,100,32,11
4,84,28,27,0,48.025,0,100,32,17
5,100,32,35,7,47.642,0,100,32,25
6,100,28,42,30,47.882,0,100,32,31
7,100,27,44,36,48.148,0,100,32,31
8,100,27,45,42,48.14,0,100,32,31
9,100,28,43,40,48.087,0,100,32,31
10,100,28,42,36,48.091,0,100,32,31
11,100,28,43,38,48.064,0,100,32,31
12,100,28,43,39,48.021,0,100,32,31
13,100,29,40,35,47.931,0,100,32,31
14,100,28,43,37,48.057,0,100,32,31
15,100,28,43,37,48.141,0,100,32,31
16,100,28,42,36,48.049,0,100,32,31
17,100,28,43,39,48.06,0,100,32,31
18,100,28,44,40,48.107,0,100,32,31
19,100,27,45,41,48.192,0,100,32,31
20,100,27,44,39,48.126,0,100,32,31
21,100,29,41,37,48.131,0,100,32,31
22,100,28,44,39,47.997,0,100,32,31
23,100,28,43,37,48.078,0,100,32,31
24,100,27,44,39,48.034,0,100,32,31
25,100,28,42,39,47.902,0,100,32,31
26,100,28,43,36,47.934,0,100,32,31
27,100,28,44,40,48.042,0,100,32,31
28,100,27,45,42,48.037,0,100,32,31
29,100,26,46,42,48.172,0,100,32,31
30,100,27,44,41,48.078,0,100,32,31
31,100,27,45,40,48.253,0,100,32,31
32,100,27,45,43,48.139,0,100,32,31
33,100,29,41,37,48.061,0,100,32,31
34,100,29,42,37,48.048,0,100,32,31
35,100,29,41,35,47.897,0,100,32,31
36,100,29,41,32,47.953,0,100,32,31
37,100,29,42,37,48.075,0,100,32,31
38,100,29,42,37,47.998,0,100,32,31
39,100,28,44,41,48.04,0,100,32,31
40,100,28,44,37,48.062,0,100,32,31
41,100,28,44,40,48.065,0,100,32,31
42,100,29,41,34,47.925,0,100,32,31
43,100,28,43,37,47.893,0,100,32,31
44,100,28,43,39,47.83,0,100,32,31
45,100,28,42,34,47.828,0,100,32,31
46,100,27,44,41,47.841,0,100,32,31
47,100,28,43,43,47.845,0,100,32,31
48,100,27,45,38,47.932,0,100,32,31
49,100,27,45,44,48.139,0,100,32,31
50,100,27,45,42,48.08,0,100,32,31
51,100,27,44,39,47.979,0,100,32,31
52,100,27,44,41,48.032,0,100,32,31
53,100,27,44,40,48.108,0,100,32,31
54,100,29,40,37,47.97,0,100,32,31
55,100,29,40,34,47.989,0,100,32,31
56,100,29,40,31,48.067,0,100,32,31
57,100,30,39,33,47.935,0,100,32,31
58,100,30,40,33,47.833,0,100,32,31
59,100,29,41,35,47.79,0,100,32,31
60,100,28,42,40,47.913,0,100,32,31
